id,content,sender_id,created_at,recipient_id,read_at,delivered_at
"1","hola","1",2025-04-10T11:03:29.789Z,,,
"2","hola1","1",2025-04-10T11:14:56.010Z,"2",,
"4","hola4","1",2025-04-10T12:52:36.750Z,"2",,
"8","holahola","2",2025-04-11T09:55:09.246Z,"1",,
"9","hohola","1",2025-04-11T10:14:53.744Z,"4",,
"11","hohola2","1",2025-04-11T10:26:17.548Z,"4",,
"5","hola5","3",2025-04-10T12:54:31.145Z,"1",2026-07-30T16:55:29.800Z,
"3","hola3","1",2025-04-10T12:43:07.368Z,"3",2026-07-31T04:26:07.833Z,
"12","hallo","1",2025-08-28T09:27:58.103Z,"3",2026-07-31T04:26:07.833Z,
"13","hallo","1",2026-07-30T18:55:53.439Z,"3",2026-07-31T04:26:07.833Z,
"10","hohola1","4",2025-04-11T10:20:46.443Z,"1",2026-08-02T06:25:18.003Z,
"6","hola6","3",2025-04-11T09:40:14.827Z,"2",2026-08-03T16:42:15.765Z,
"7","hola7","3",2025-04-11T09:48:58.825Z,"2",2026-08-03T16:42:15.765Z,
